,Attribute,Mean of Yes,Mean of No,P-Value,Significant?,Status of YES
1,sscore,-0.398222601,-0.395474401,0.459663476,No,Lower
2,NA,NA,NA,NA,NA,NA
26,adverb,8.036007954,7.215772781,1.26E-06,YES,Higher
46,Affect,11.03670541,8.103743195,3.03E-48,YES,Higher
33,affiliation,1.215815234,1.363569231,0.032360187,YES,Lower
37,allnone,1.763520954,1.236547929,9.65E-10,YES,Higher
113,AllPunc,0.667017437,1.248250888,2.73E-10,YES,Lower
96,allure,7.268277761,6.556623669,3.29E-06,YES,Higher
4,Analytic,25.45415112,35.68124497,2.64E-55,YES,Lower
22,article,4.313539309,5.294140828,4.09E-18,YES,Lower
98,attention,0.211095136,0.279130178,0.030537388,YES,Lower
6,Authentic,62.9136892,53.90223669,1.15E-28,YES,Higher
25,auxverb,12.45221169,11.47222012,8.50E-09,YES,Higher
9,BigWords,16.43159988,17.60954556,7.62E-07,YES,Lower
43,certitude,1.275111655,1.080378698,0.014851849,YES,Higher
16,we,0.621376568,0.656998817,0.49016007,No,Lower
5,Clout,22.10126338,33.79941893,3.85E-66,YES,Lower
18,shehe,0.730107066,0.776894675,0.43875274,No,Lower
19,they,0.79662282,0.828022485,0.612450667,No,Lower
36,Cognition,15.73689813,15.20990059,0.026820506,YES,Higher
27,conj,7.538231875,7.055140828,0.000481571,YES,Higher
68,Culture,0.298054451,0.404630769,0.003684317,YES,Lower
21,det,12.02497094,13.0430497,3.17E-08,YES,Lower
24,prep,10.58613643,10.6346,0.759550856,No,Lower
10,Dic,94.47736923,92.74206036,1.27E-26,YES,Higher
44,differ,4.27219639,4.911194083,7.53E-08,YES,Lower
41,discrep,1.689596207,1.922536095,0.003675345,YES,Lower
53,emo_anger,0.80229428,0.417886391,1.91E-07,YES,Higher
52,emo_anx,1.915016825,1.157586982,5.03E-18,YES,Higher
30,adj,8.072964209,8.388205917,0.068450904,No,Lower
51,emo_neg,5.231095136,3.411159763,1.02E-30,YES,Higher
32,Drives,2.974505965,2.869062722,0.341677776,No,Higher
54,emo_sad,1.060575099,0.465898225,7.64E-14,YES,Higher
34,achieve,0.69394922,0.630346746,0.241570501,No,Higher
49,emotion,5.890960538,3.96355858,4.77E-32,YES,Higher
117,Exclam,0.227558887,0.412157396,0.004544729,YES,Lower
64,family,0.291061487,0.4934,2.26E-08,YES,Lower
38,cogproc,13.83572652,13.86255858,0.904380285,No,Lower
103,feeling,1.306442337,1.071351479,0.002245127,YES,Higher
40,cause,1.590682166,1.472718343,0.09561881,No,Higher
107,focusfuture,1.83159376,1.530366864,0.000425121,YES,Higher
105,focuspast,3.381205262,3.713745562,0.005522089,YES,Lower
106,focuspresent,8.407889263,6.595736095,1.03E-29,YES,Higher
85,food,0.103288467,0.201768047,5.38E-05,YES,Lower
45,memory,0.053817681,0.070263905,0.374704585,No,Lower
12,function.,62.68615173,58.67831716,9.28E-60,YES,Higher
47,tone_pos,1.215885592,1.216876923,0.988343271,No,Lower
79,health,3.060471092,5.382452071,1.96E-73,YES,Lower
15,i,8.36035179,5.385986982,8.06E-78,YES,Higher
50,emo_pos,0.359996941,0.334901775,0.496383233,No,Higher
80,illness,1.800633221,3.700243787,1.53E-89,YES,Lower
39,insight,3.027531355,2.222218935,9.09E-15,YES,Higher
20,ipron,7.335729581,5.777175148,5.03E-22,YES,Higher
72,Lifestyle,1.238467421,1.582395266,4.25E-06,YES,Lower
11,Linguistic,78.79807892,74.32399408,4.06E-66,YES,Higher
67,male,0.476775772,0.665257988,0.000209412,YES,Lower
57,socbehav,2.715408382,2.86323432,0.187645126,No,Lower
82,mental,0.691471398,0.324281657,4.20E-10,YES,Higher
59,polite,0.073548486,0.110633136,0.056987944,No,Lower
60,conflict,0.481544815,0.45111716,0.531518487,No,Higher
61,moral,0.674628327,0.289569231,2.19E-11,YES,Higher
62,comm,0.880688284,0.980142012,0.09046387,No,Lower
87,need,0.320342612,0.409033136,0.020749076,YES,Lower
28,negate,2.039761395,2.214628402,0.041153441,YES,Lower
65,friend,0.124401958,0.136294675,0.586226491,No,Lower
66,female,0.516261854,0.51148284,0.924696074,No,Higher
23,number,0.740211074,1.607926627,8.06E-40,YES,Lower
78,Physical,4.12226063,6.829467456,5.94E-75,YES,Lower
69,politic,0.182881615,0.222289941,0.164199138,No,Lower
70,ethnicity,0.013352707,0.021411834,0.297487931,No,Lower
35,power,1.117057204,0.903894675,0.002433318,YES,Higher
14,ppron,11.36400428,9.552871006,6.55E-27,YES,Higher
73,leisure,0.129975528,0.173450888,0.088933629,No,Lower
74,home,0.14560416,0.159439053,0.472827194,No,Lower
13,pronoun,18.69966045,15.33004142,1.02E-65,YES,Higher
76,money,0.157497706,0.19023787,0.218379647,No,Lower
58,prosocial,0.354401958,0.744068639,5.95E-16,YES,Lower
116,QMark,0.411890486,0.786649704,2.56E-09,YES,Lower
31,quantity,3.546460691,4.424150296,8.45E-13,YES,Lower
77,relig,0.22522178,0.115689941,0.001980427,YES,Higher
94,risk,0.555056592,1.031095858,2.53E-18,YES,Lower
56,Social,7.29207097,8.774531361,2.83E-14,YES,Lower
83,substances,0.015836647,0.024727811,0.291150646,No,Lower
84,sexual,0.01034873,0.018757396,0.249962755,No,Lower
63,socrefs,4.187568064,5.611846154,3.75E-23,YES,Lower
86,death,0.371853778,0.408869822,0.356263292,No,Lower
100,space,4.384151117,4.779315976,0.002961238,YES,Lower
88,want,0.436124197,0.403368047,0.419185563,No,Higher
89,acquire,1.043303763,1.117733728,0.203493937,No,Lower
90,lack,0.193517895,0.200773964,0.840348723,No,Lower
91,fulfill,0.123349648,0.144323077,0.279935833,No,Lower
92,fatigue,0.337308045,0.292731361,0.374899212,No,Higher
93,reward,0.031049251,0.032665089,0.888765118,No,Lower
55,swear,0.835625574,0.378595266,1.04E-09,YES,Higher
95,curiosity,0.130639339,0.170931361,0.094823601,No,Lower
71,tech,0.101829306,0.160933728,0.007172604,YES,Lower
97,Perception,7.237402875,7.549455621,0.065202201,No,Lower
42,tentat,2.53602019,2.833779882,0.002554729,YES,Lower
99,motion,1.152407464,1.082190533,0.239157974,No,Higher
7,Tone,11.89586418,16.60609231,3.03E-23,YES,Lower
101,visual,0.371095136,0.400822485,0.415901554,No,Lower
102,auditory,0.2180881,0.220253254,0.948136595,No,Lower
48,tone_neg,8.880091771,6.389168047,1.22E-39,YES,Higher
104,time,4.102223922,4.146086391,0.721389521,No,Lower
29,verb,21.24193331,19.02322604,1.40E-27,YES,Higher
3,WC,18.36188437,16.4260355,5.85E-13,YES,Higher
81,wellness,0.018910982,0.0522,0.002640425,YES,Lower
108,Conversation,0.588647905,0.55907929,0.618186403,No,Higher
109,netspeak,0.318522484,0.295284024,0.578144131,No,Higher
110,assent,0.232272866,0.2044,0.452389323,No,Higher
111,nonflu,0.042334047,0.063414201,0.257972241,No,Lower
112,filler,0.008816152,0.01396213,0.421604151,No,Lower
75,work,0.603233405,0.973047337,5.65E-13,YES,Lower
114,Period,0,0,NA,NA,NA
115,Comma,0,0,NA,NA,NA
8,WPS,18.34934231,16.42088757,7.01E-13,YES,Higher
17,you,0.658039156,1.69003787,5.53E-50,YES,Lower
118,Apostro,0,0,NA,NA,NA
119,OtherP,0.027574182,0.049443787,0.090713871,No,Lower
